0;4.74;5.06;5.46;5.86;6.26;10.14;10.46;10.86;11.26;11.66
0;-3.168;-3.961;-4.985;-5.699;-4.6;-12.099;-10.307;-7.193;-2.399;0.604
20;-3.003;-3.772;-4.757;-5.421;-4.4;-7.868;-6.35;-3.926;-0.612;1.358
40;-2.463;-3.108;-3.959;-4.578;-3.8;-2.882;2.014;-8.33;0.593;1.38
60;-1.572;-2.017;-2.621;-3.106;-2.7;0.093;0.392;0.779;1.07;1.13
80;-0.62;-0.835;-1.154;-1.423;-1.3;1.513;1.516;1.435;1.16;0.864
100;0.275;0.276;0.279;0.281;0.1;2.119;1.849;1.484;0.891;0.38
120;0.98;1.155;1.401;1.667;1.3;2.127;1.82;1.259;0.435;-0.039
140;1.443;1.764;2.206;2.646;2.2;2.116;1.702;0.973;0.098;-0.418
160;1.717;2.133;2.7;3.258;2.7;2.046;1.515;0.715;-0.2;-0.65
180;1.811;2.25;2.854;3.419;2.9;2.032;1.42;0.676;-0.279;-0.731
